datahora;assunto;link;texto_complementar
2026-04-19-05-56-31;"Como a ciência da aprendizagem pode te ajudar a aprender mais?";"https://youtube.com/shorts/LObe19rCzYQ?si=H10zM9BJ-j16-Ld7";""
2026-04-19-05-56-55;"One More Night In Nashville";"https://youtu.be/lqhYh7-htN8?si=IaOSZUyfNc6R_xxS";""
2026-04-19-05-57-22;"É ASSIM QUE O CRIADOR DO WHATSAPP FOI DO BOLSA FAMÍLIA PARA US$ 19 BILHÕES 🤯";"https://youtube.com/shorts/cxOGoplX1kg?si=XSaanoh6ywse9ZHX";""
